DATE,NUMBER
2020-01-25,1
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,3
2020-02-01,3
2020-02-02,3
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,4
2020-02-24,4
2020-02-25,4
2020-02-26,5
2020-02-27,6
2020-02-28,7
2020-02-29,10
2020-03-01,14
2020-03-02,17
2020-03-03,20
2020-03-04,19
2020-03-05,22
2020-03-06,28
2020-03-07,25
2020-03-08,29
2020-03-09,35
2020-03-10,36
2020-03-11,42
2020-03-12,60
2020-03-13,79
2020-03-14,101
2020-03-15,146
2020-03-16,172
2020-03-17,190
2020-03-18,221
2020-03-19,257
2020-03-20,318
2020-03-21,377
2020-03-22,425
2020-03-23,504
2020-03-24,588
2020-03-25,688
2020-03-26,858
2020-03-27,993
2020-03-28,1144
2020-03-29,1355
2020-03-30,1732
2020-03-31,1987
2020-04-01,2392
2020-04-02,2793
2020-04-03,3255
2020-04-04,3630
2020-04-05,4038
2020-04-06,4347
2020-04-07,4726
2020-04-08,5276
2020-04-09,5759
2020-04-10,6237
2020-04-11,6648
2020-04-12,7049
2020-04-13,7470
2020-04-14,7953
2020-04-15,8447
2020-04-16,8961